書名,作者,分類,連結
Think Python,Allen B. Downey,Computers,http://books.google.com/books?id=10KYwCZxSdEC&dq=python&hl=&source=gbs_api
Python Crash Course,Eric Matthes,Computers,http://books.google.com/books?id=RXoZCwAAQBAJ&dq=python&hl=&source=gbs_api
Core Python Programming,Wesley Chun,Computers,http://books.google.com/books?id=mh0bU6NXrBgC&dq=python&hl=&source=gbs_api
Python Programming in Context,"Bradley N. Miller, David L. Ranum, Julie Anderson",Computers,http://books.google.com/books?id=b-2oDwAAQBAJ&dq=python&hl=&source=gbs_api
Learn Python 3 the Hard Way,Zed A. Shaw,Computers,https://play.google.com/store/books/details?id=93YpDwAAQBAJ&source=gbs_api
Beginning Programming with Python For Dummies,John Paul Mueller,Computers,http://books.google.com/books?id=h-_sBQAAQBAJ&dq=python&hl=&source=gbs_api
Python Programming,Daniel O'Reilly,Computers,http://books.google.com/books?id=JmE4zgEACAAJ&dq=python&hl=&source=gbs_api
Python Essential Reference,David M Beazley,Computers,https://play.google.com/store/books/details?id=7U1CIoOs5AkC&source=gbs_api
Asian Rock Pythons,Valerie J. Weber,Juvenile Nonfiction,http://books.google.com/books?id=eWcnJI5ZQDcC&dq=python&hl=&source=gbs_api
"Introduction to Computation and Programming Using Python, second edition",John V. Guttag,Computers,http://books.google.com/books?id=KabKDAAAQBAJ&dq=python&hl=&source=gbs_api
Python Essentials 1,The OpenEDG Python Institute,Computers,https://play.google.com/store/books/details?id=kcGrEAAAQBAJ&source=gbs_api
Mission Python,Sheela Preuitt,Juvenile Nonfiction,http://books.google.com/books?id=5PiVDwAAQBAJ&dq=python&hl=&source=gbs_api
Python for Data Science For Dummies,"John Paul Mueller, Luca Massaron",Computers,http://books.google.com/books?id=Uh2EDwAAQBAJ&dq=python&hl=&source=gbs_api
Python for Data Analysis,Wes McKinney,Computers,http://books.google.com/books?id=UWlo-c4WEpAC&dq=python&hl=&source=gbs_api
Monty Python's Flying Circus,Darl Larsen,Performing Arts,https://play.google.com/store/books/details?id=Ud9h3kdxQNQC&source=gbs_api
A Book about the Film Monty Python's The Meaning of Life,Darl Larsen,Literary Criticism,https://play.google.com/store/books/details?id=-ZviDwAAQBAJ&source=gbs_api
Porcupine in a Python’s Throat,Fonkem Achankeng,Law,https://play.google.com/store/books/details?id=D__SEAAAQBAJ&source=gbs_api
A Book about the Film Monty Python's Life of Brian,Darl Larsen,Performing Arts,https://play.google.com/store/books/details?id=fjxCDwAAQBAJ&source=gbs_api
Unplugging Flask for Crafting Web Apps with Python’s Cleanest Framework,Dr. Poornima G. Naik,Computers,https://play.google.com/store/books/details?id=SehhEQAAQBAJ&source=gbs_api
Fluent Python,Luciano Ramalho,Computers,http://books.google.com/books?id=ICdnEAAAQBAJ&dq=python&hl=&source=gbs_api
