2026-02-19
書名,作者,價格,分類,連結
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo x Whisk x Flow x Gem - Google 多模態 AI 工作流,洪錦魁,513元,電腦資訊,https://www.books.com.tw/products/0011041635/1
鏈鋸人 (首刷限定版) 22,藤本樹,178元,漫畫/圖文書,https://www.books.com.tw/products/0011041755/2
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,遠藤 達哉,170元,漫畫/圖文書,https://www.books.com.tw/products/0011042311/3
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 (首刷限定版) 全,みかみてれん,646元,輕小說,https://www.books.com.tw/products/0011042324/4
惡靈剋星 (首刷限定版) 6,新翔子,195元,漫畫/圖文書,https://www.books.com.tw/products/0011042684/5
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,みかみてれん,178元,輕小說,https://www.books.com.tw/products/0011042323/6
特殊傳說III【2026珍藏特裝組】,護玄,720元,輕小說,https://www.books.com.tw/products/0011044492/7
在小山和小山之間：故事大爆炸年度首獎之作,李停,284元,文學小說,https://www.books.com.tw/products/0011042972/8
惡靈剋星 (首刷限定版) 5,新翔子,340元,漫畫/圖文書,https://www.books.com.tw/products/0011038935/9
蒼一先生的色色話題令人心癢難耐!! (1),mmk,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045264/10
SPY×FAMILY 間諜家家酒 16,遠藤 達哉,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042310/11
日花閃爍：台語的美麗詞彙&一百首詩,温若喬,355元,文學小說,https://www.books.com.tw/products/0011039851/12
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,樊登,331元,商業理財,https://www.books.com.tw/products/0011038878/13
請解開故事謎底【2026珍藏特裝組】,花於景（雷雷夥伴）,675元,輕小說,https://www.books.com.tw/products/0011044493/14
夜畫帳第八卷,Byeonduck,340元,限制級商品（需登入）,https://www.books.com.tw/products/0011043138/15
葬送的芙莉蓮 (特裝版) 15,山田 鐘人 (原作)／阿部 司 (作畫),246元,漫畫/圖文書,https://www.books.com.tw/products/0011041767/16
SAKAMOTO DAYS 坂本日常 (首刷限定版) 23,鈴木祐斗,272元,漫畫/圖文書,https://www.books.com.tw/products/0011042682/17
骷髏13(002),齊藤隆夫,255元,漫畫/圖文書,https://www.books.com.tw/products/0011044745/18
聖潔少女的祕蜜情事 (2),閃 凡人,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045277/19
聖潔少女的祕蜜情事 (3),閃 凡人,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045278/20
特殊傳說Ⅲ vol.11,護玄,252元,輕小說,https://www.books.com.tw/products/0011044230/21
滿洲鴉片小隊(16),門馬司,170元,漫畫/圖文書,https://www.books.com.tw/products/0011044738/22
我想成為影之強者！ (14),"坂野 杏梨,逢沢 大介,東西",110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045255/23
葬送的芙莉蓮 15,山田 鐘人 (原作)／阿部 司 (作畫),93元,漫畫/圖文書,https://www.books.com.tw/products/0011041766/24
冠軍之路：2024世界棒球12強賽感動全紀錄【聯名電影書】,"曾文誠,陳祖安",434元,生活風格,https://www.books.com.tw/products/0011042760/25
刪掉容易，忘掉很難,林思齊,331元,心理勵志,https://www.books.com.tw/products/0011041796/26
指數致富：普通人也能複製的長期致富法則,周岐原,355元,商業理財,https://www.books.com.tw/products/0011044178/27
紀律長贏：揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,355元,商業理財,https://www.books.com.tw/products/0011042966/28
金田一37歲之事件簿 17,天樹 征丸 ／佐藤文也,119元,漫畫/圖文書,https://www.books.com.tw/products/0011043886/29
SAKAMOTO DAYS 坂本日常 23,鈴木祐斗,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042681/30
美夜妹妹的求淫生活！ (1),降本孟,110元,限制級商品（需登入）,https://www.books.com.tw/products/0011045240/31
鏈鋸人 22,藤本樹,93元,漫畫/圖文書,https://www.books.com.tw/products/0011041754/32
從破產人生逆襲到財務自由：你一定要懂的財商真相，36個翻轉心法把人生找回來,李文森,308元,商業理財,https://www.books.com.tw/products/0011044006/33
魔男伊奇 (首刷限定版) 4,宇佐崎 しろ (漫畫) ／西 修 (原作),161元,漫畫/圖文書,https://www.books.com.tw/products/0011041758/34
平野與鍵浦 (5),春園ショウ,110元,漫畫/圖文書,https://www.books.com.tw/products/0011038483/35
颶光典籍五部曲：風與真實（上下冊套書）,布蘭登．山德森,1342元,文學小說,https://www.books.com.tw/products/0011044969/36
聖闘士星矢 Final Edition(13),車田正美,110元,漫畫/圖文書,https://www.books.com.tw/products/0011045098/37
十月堂舊書事２,兒島青,221元,漫畫/圖文書,https://www.books.com.tw/products/0011038578/38
將殺7,TAN,340元,限制級商品（需登入）,https://www.books.com.tw/products/0011043142/39
你的色彩Ｘ直播～今晚再指導蓓兒吧～ (4),守月史貴,102元,限制級商品（需登入）,https://www.books.com.tw/products/0011045247/40
鏈鋸人 21,藤本樹,93元,漫畫/圖文書,https://www.books.com.tw/products/0011035312/41
等你成為Sub，再好好獎勵你 全,まっけ,136元,限制級商品（需登入）,https://www.books.com.tw/products/0011042309/42
財商：不費力才會贏【作者親簽版】,吳淡如,355元,商業理財,https://www.books.com.tw/products/0011041833/43
請解開故事謎底 05,花於景（雷雷夥伴）,221元,輕小說,https://www.books.com.tw/products/0011044225/44
哥布林殺手：生命中的一天(02),蝸牛くも,127元,限制級商品（需登入）,https://www.books.com.tw/products/0011044737/45
瑜伽動作序列設計：針對不同體質與週期編排瑜伽動作，能療癒如憂鬱、焦慮、失眠等文明病症,馬克．史蒂芬斯,474元,醫療保健,https://www.books.com.tw/products/0011045372/46
AI 研究寫作全攻略：NotebookLM × Gemini × ChatGPT × Perplexity,"洪兆祥,黃聖方,漫新知 (MINDWAY 教育品牌)",497元,電腦資訊,https://www.books.com.tw/products/0011044193/47
難以承受的悸動是戀愛嗎？ 3 首刷限定版,空華みあ,204元,漫畫/圖文書,https://www.books.com.tw/products/0011042967/48
異世界歸來的舅舅 (13),殆ど死んでいる,127元,漫畫/圖文書,https://www.books.com.tw/products/0011038499/49
戀愛吧，假面天使！ (首刷限定版) 5,卯月coco,195元,漫畫/圖文書,https://www.books.com.tw/products/0011041763/50
2026-02-20
書名,作者,價格,分類,連結
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo x Whisk x Flow x Gem - Google 多模態 AI 工作流,洪錦魁,513元,電腦資訊,https://www.books.com.tw/products/0011041635/1
鏈鋸人 (首刷限定版) 22,藤本樹,178元,漫畫/圖文書,https://www.books.com.tw/products/0011041755/2
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,みかみてれん,178元,輕小說,https://www.books.com.tw/products/0011042323/3
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,遠藤 達哉,170元,漫畫/圖文書,https://www.books.com.tw/products/0011042311/4
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 (首刷限定版) 全,みかみてれん,646元,輕小說,https://www.books.com.tw/products/0011042324/5
在小山和小山之間：故事大爆炸年度首獎之作,李停,284元,文學小說,https://www.books.com.tw/products/0011042972/6
惡靈剋星 (首刷限定版) 6,新翔子,195元,漫畫/圖文書,https://www.books.com.tw/products/0011042684/7
特殊傳說III【2026珍藏特裝組】,護玄,720元,輕小說,https://www.books.com.tw/products/0011044492/8
SPY×FAMILY 間諜家家酒 16,遠藤 達哉,93元,漫畫/圖文書,https://www.books.com.tw/products/0011042310/9
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,樊登,331元,商業理財,https://www.books.com.tw/products/0011038878/10
滿洲鴉片小隊(16),門馬司,170元,漫畫/圖文書,https://www.books.com.tw/products/0011044738/11
